fecha,nivel_m
01/09/2011,50.12202043
01/10/2011,50.2874619
01/11/2011,50.90422688
01/12/2011,50.92481347
01/01/2012,50.61122839
01/02/2012,50.87692978
01/03/2012,50.83314744
01/04/2012,51.24719269
01/05/2012,50.56219472
01/06/2012,51.09347923
01/07/2012,51.74968191
01/08/2012,52.01839006
01/09/2012,51.57829014
01/10/2012,50.96576548
01/11/2012,50.80593242
01/12/2012,51.42308536
01/01/2013,50.86600975
01/02/2013,51.33568914
01/03/2013,51.02817415
01/04/2013,51.06427399
01/05/2013,51.30616108
01/06/2013,51.13273921
01/07/2013,51.64545055
01/08/2013,51.62471899
01/09/2013,52.19797243
01/10/2013,53.00238349
01/11/2013,51.96152166
01/12/2013,52.46952474
01/01/2014,52.56721988
01/02/2014,52.2873729
01/03/2014,51.84694823
01/04/2014,52.76965415
01/05/2014,52.64732139
01/06/2014,53.28805901
01/07/2014,52.6484231
01/08/2014,52.77575685
01/09/2014,53.43434921
01/10/2014,53.20719669
01/11/2014,52.82812614
01/12/2014,52.34370548
01/01/2015,52.25549783
01/02/2015,52.04937718
01/03/2015,52.35625843
01/04/2015,52.14093744
01/05/2015,52.47215707
01/06/2015,52.76061976
01/07/2015,52.78043603
01/08/2015,52.85067434
01/09/2015,52.90989464
01/10/2015,53.18284233
01/11/2015,52.82424207
01/12/2015,52.95888222
01/01/2016,52.8441124
01/02/2016,52.42812946
01/03/2016,52.17824685
01/04/2016,52.71009243
01/05/2016,53.32487522
01/06/2016,52.51059318
01/07/2016,52.96013402
01/08/2016,53.09412524
01/09/2016,53.52584655
01/10/2016,54.15132455
01/11/2016,53.40629003
01/12/2016,53.99535878
01/01/2017,54.44831792
01/02/2017,53.93267889
01/03/2017,53.74560275
01/04/2017,52.93325232
01/05/2017,53.1507758
01/06/2017,52.38172083
01/07/2017,52.77153895
01/08/2017,52.93521443
01/09/2017,53.16484888
01/10/2017,53.31932137
01/11/2017,53.36737512
01/12/2017,52.83638486
01/01/2018,52.52215703
01/02/2018,52.95931013
01/03/2018,53.38065197
01/04/2018,53.77740516
01/05/2018,54.22963529
01/06/2018,54.25416835
01/07/2018,53.56341838
01/08/2018,53.50083088
01/09/2018,53.45740718
01/10/2018,53.37017089
01/11/2018,54.59839307
01/12/2018,54.21964581
01/01/2019,55.01622047
01/02/2019,54.6979283
01/03/2019,54.59083479
01/04/2019,55.30670676
01/05/2019,55.10213997
01/06/2019,54.71645415
01/07/2019,54.80075332
01/08/2019,54.65911492
01/09/2019,54.78115194
01/10/2019,54.71029685
01/11/2019,55.01553551
01/12/2019,55.31785105
01/01/2020,55.61976062
01/02/2020,54.49865419
01/03/2020,53.99208697
01/04/2020,54.25192125
01/05/2020,54.86007446
01/06/2020,54.85054066
01/07/2020,54.32739435
01/08/2020,54.42611995
01/09/2020,54.50471226
01/10/2020,54.70212864
01/11/2020,54.99528049
01/12/2020,54.54025646
01/01/2021,54.28508384
01/02/2021,54.45490151
01/03/2021,55.18822644
01/04/2021,55.19369097
01/05/2021,55.20066449
01/06/2021,54.98813775
01/07/2021,54.99345106
01/08/2021,55.18671032
01/09/2021,55.3846861
01/10/2021,55.21576258
01/11/2021,54.67424471
01/12/2021,54.65683237
01/01/2022,54.1564299
01/02/2022,54.17699095
01/03/2022,54.5219751
01/04/2022,54.86701741
01/05/2022,55.16135288
01/06/2022,55.083643
01/07/2022,54.39818287
01/08/2022,54.83716617
01/09/2022,56.34948648
01/10/2022,55.79232572
01/11/2022,55.51559107
01/12/2022,56.5747764
01/01/2023,56.02142447
01/02/2023,56.23052546
01/03/2023,56.27686656
01/04/2023,55.96041315
01/05/2023,55.43213114
01/06/2023,54.79978303
01/07/2023,55.18695058
01/08/2023,55.78719781
01/09/2023,56.43129366
01/10/2023,55.96549671
01/11/2023,56.53171823
01/12/2023,56.31692912
01/01/2024,56.63334773
01/02/2024,56.84508353
01/03/2024,57.17413491
01/04/2024,56.7678964
01/05/2024,56.73516997
01/06/2024,56.42742029
01/07/2024,56.36162374
01/08/2024,56.40247819
01/09/2024,57.02626633
01/10/2024,56.995193
01/11/2024,57.72637394
01/12/2024,57.25273783
